,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
146,OD5722,Fruits & Veggies,Fresh Vegetables,04-01-2022,1061,0.25,435.01
147,OD7939,Food Grains,Dals & Pulses,04-01-2022,1750,0.34,577.5
148,OD6764,Oil & Masala,Edible Oil & Ghee,04-01-2022,52,0.28,2.6
149,OD6761,Snacks,Noodles,04-01-2022,1633,0.1,589.05792
150,OD5833,Food Grains,Dals & Pulses,04-01-2022,1100,0.21,209.0
151,OD2642,"Eggs, Meat & Fish",Chicken,04-01-2022,236,0.11,294.4256
152,OD2633,"Eggs, Meat & Fish",Mutton,04-01-2022,255,0.13,59.59680000000001
153,OD4333,Snacks,Chocolates,04-01-2022,1203,0.31,187.55712000000003
154,OD8032,Snacks,Noodles,04-01-2022,2893,0.19,277.36128
155,OD4785,"Eggs, Meat & Fish",Chicken,04-01-2022,50,0.24,77.69088
156,OD5687,Oil & Masala,Spices,04-01-2022,1468,0.14,73.4
157,OD3798,"Eggs, Meat & Fish",Mutton,04-01-2022,953,0.35,231.49056
158,OD8408,"Eggs, Meat & Fish",Chicken,04-02-2022,50,0.16,51.983360000000005
159,OD4062,Food Grains,Organic Staples,04-02-2022,634,0.27,50.72
160,OD9714,Oil & Masala,Edible Oil & Ghee,04-02-2022,431,0.26,21.55
161,OD8744,"Eggs, Meat & Fish",Fish,04-02-2022,1245,0.3,751.3499999999999
162,OD1834,Snacks,Noodles,04-02-2022,1792,0.17,666.4384
163,OD953,Snacks,Chocolates,04-03-2022,1702,0.3,795.0799999999999
164,OD2034,Fruits & Veggies,Fresh Vegetables,04-03-2022,1610,0.15,627.9
165,OD9695,"Eggs, Meat & Fish",Eggs,04-04-2022,31,0.26,266.8928
166,OD5233,Snacks,Cookies,04-04-2022,1595,0.28,615.808
167,OD8735,Oil & Masala,Masalas,04-04-2022,406,0.13,20.3
168,OD9219,Oil & Masala,Masalas,04-04-2022,253,0.22,12.65
169,OD8745,Snacks,Noodles,04-04-2022,1639,0.31,287.26272
170,OD9697,Food Grains,Organic Staples,04-04-2022,1714,0.24,702.74
171,OD7578,Fruits & Veggies,Fresh Fruits,04-06-2022,1050,0.23,441.0
172,OD9099,Snacks,Noodles,04-06-2022,2415,0.31,219.5424
173,OD233,Food Grains,Dals & Pulses,04-07-2022,826,0.18,247.8
174,OD234,Snacks,Cookies,04-07-2022,2446,0.22,478.4832
175,OD232,Beverages,Soft Drinks,04-07-2022,1880,0.22,632.8
