,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
492,OD7065,Snacks,Noodles,08-01-2022,2853,0.18,545.0457600000001
493,OD4814,Oil & Masala,Spices,08-01-2022,743,0.26,37.15
494,OD4888,Fruits & Veggies,Organic Fruits,08-01-2022,2415,0.22,869.4
495,OD6861,Snacks,Cookies,08-01-2022,1332,0.35,227.68128
496,OD3027,Fruits & Veggies,Fresh Vegetables,08-01-2022,1905,0.27,476.25
497,OD8129,"Eggs, Meat & Fish",Eggs,08-01-2022,485,0.17,86.272
498,OD6785,"Eggs, Meat & Fish",Fish,08-03-2022,798,0.21,335.504
499,OD5207,Snacks,Cookies,08-03-2022,2569,0.22,510.36480000000006
500,OD3023,Oil & Masala,Masalas,08-03-2022,50,0.27,2.5
501,OD1009,Snacks,Cookies,08-03-2022,2943,0.34,815.46
502,OD3055,Oil & Masala,Masalas,08-03-2022,95,0.29,4.75
503,OD1359,"Eggs, Meat & Fish",Fish,08-03-2022,510,0.33,157.5936
504,OD2186,Beverages,Soft Drinks,08-03-2022,923,0.18,90.3744
505,OD6472,Oil & Masala,Spices,08-04-2022,455,0.25,22.75
506,OD6460,Fruits & Veggies,Fresh Fruits,08-04-2022,752,0.19,90.24
507,OD7093,Snacks,Noodles,08-04-2022,2894,0.31,356.76288000000005
508,OD8728,Fruits & Veggies,Organic Vegetables,08-05-2022,1271,0.12,394.01
509,OD5149,Beverages,Soft Drinks,08-05-2022,1320,0.29,92.736
510,OD3270,Beverages,Health Drinks,08-05-2022,1967,0.26,842.47
511,OD6366,Oil & Masala,Edible Oil & Ghee,08-05-2022,50,0.24,2.5
512,OD3250,Fruits & Veggies,Organic Vegetables,08-05-2022,1903,0.16,647.02
513,OD1328,Oil & Masala,Masalas,08-06-2022,810,0.17,40.5
514,OD9297,"Eggs, Meat & Fish",Mutton,08-06-2022,336,0.16,165.15072
515,OD7017,Beverages,Soft Drinks,08-06-2022,2427,0.25,350.26560000000006
516,OD9289,Beverages,Health Drinks,08-06-2022,1310,0.24,91.728
517,OD1319,Bakery,Biscuits,08-06-2022,1352,0.21,441.81504000000007
518,OD9884,Food Grains,Dals & Pulses,08-06-2022,667,0.19,286.81
519,OD3738,Beverages,Soft Drinks,08-06-2022,1489,0.29,282.2688
520,OD4681,"Eggs, Meat & Fish",Mutton,08-07-2022,50,0.19,70.91712
521,OD3600,Bakery,Biscuits,08-07-2022,1374,0.31,160.49664
522,OD5516,Beverages,Soft Drinks,08-07-2022,1048,0.31,111.97440000000002
523,OD1911,Fruits & Veggies,Fresh Vegetables,08-07-2022,971,0.12,368.98
524,OD4527,Food Grains,Dals & Pulses,08-07-2022,1167,0.21,245.07
525,OD4636,Bakery,Cakes,08-07-2022,1885,0.31,814.0
526,OD4354,Food Grains,Dals & Pulses,08-07-2022,1414,0.22,452.48
527,OD4819,Fruits & Veggies,Fresh Fruits,08-07-2022,2293,0.21,183.44
528,OD5168,Oil & Masala,Spices,08-07-2022,50,0.18,2.5
529,OD5089,"Eggs, Meat & Fish",Chicken,08-07-2022,1215,0.15,61.824
530,OD4680,Bakery,Breads & Buns,08-07-2022,2329,0.34,1043.47
531,OD3801,Oil & Masala,Masalas,08-07-2022,1564,0.3,78.2
532,OD5584,Bakery,Cakes,08-07-2022,2998,0.24,687.0304
533,OD5616,Snacks,Chocolates,08-07-2022,1841,0.27,557.55648
534,OD1803,Beverages,Health Drinks,08-07-2022,1601,0.31,449.6544
535,OD2031,Oil & Masala,Edible Oil & Ghee,08-07-2022,50,0.33,2.5
536,OD4495,Food Grains,Dals & Pulses,08-07-2022,1079,0.12,53.95
537,OD6571,Fruits & Veggies,Organic Vegetables,08-10-2022,1284,0.11,205.44
538,OD1423,Food Grains,Organic Staples,08-10-2022,1445,0.3,317.9
539,OD5182,Oil & Masala,Masalas,08-10-2022,50,0.3,2.5
540,OD3253,Snacks,Cookies,08-10-2022,1135,0.23,83.2032
541,OD7885,Beverages,Soft Drinks,08-11-2022,1678,0.17,652.096
542,OD9266,Oil & Masala,Masalas,08-11-2022,50,0.23,2.5
543,OD6269,Snacks,Noodles,08-11-2022,1361,0.21,197.25120000000004
544,OD6286,Oil & Masala,Edible Oil & Ghee,08-11-2022,1256,0.32,62.8
545,OD6261,Food Grains,Rice,08-11-2022,1721,0.3,86.05
546,OD8998,Oil & Masala,Masalas,08-11-2022,409,0.22,20.45
547,OD5494,Fruits & Veggies,Organic Vegetables,08-12-2022,2480,0.23,694.4
548,OD5521,Snacks,Chocolates,08-12-2022,1483,0.24,198.35712
549,OD5743,Fruits & Veggies,Organic Fruits,08-12-2022,960,0.26,297.6
550,OD5636,"Eggs, Meat & Fish",Eggs,08-12-2022,50,0.23,177.25439999999998
551,OD4750,Oil & Masala,Edible Oil & Ghee,08-12-2022,1162,0.34,58.1
552,OD4196,Fruits & Veggies,Organic Vegetables,08-12-2022,2238,0.22,537.12
553,OD6504,Bakery,Biscuits,08-12-2022,1610,0.22,87.264
554,OD4484,Food Grains,Rice,08-12-2022,1602,0.23,496.62
555,OD6502,Beverages,Health Drinks,08-12-2022,1257,0.19,246.816
556,OD1111,Snacks,Cookies,08-12-2022,1666,0.3,405.25056000000006
557,OD4459,Bakery,Biscuits,08-12-2022,1550,0.22,279.072
558,OD2300,Beverages,Soft Drinks,08-12-2022,2376,0.33,398.3616
