,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
1518,OD1811,Bakery,Breads & Buns,12-01-2022,2673,0.28,942.63
1519,OD584,Fruits & Veggies,Fresh Fruits,12-01-2022,1483,0.29,281.77
1520,OD583,Food Grains,Atta & Flour,12-01-2022,750,0.16,165.0
1521,OD582,Beverages,Soft Drinks,12-01-2022,1222,0.13,142.0416
1522,OD6997,Bakery,Breads & Buns,12-01-2022,2706,0.32,400.30848
1523,OD1060,Bakery,Biscuits,12-01-2022,2036,0.33,816.96
1524,OD6161,Bakery,Breads & Buns,12-01-2022,1850,0.32,324.0
1525,OD9346,Beverages,Health Drinks,12-01-2022,2394,0.31,650.344
1526,OD9912,Oil & Masala,Spices,12-01-2022,1547,0.14,77.35
1527,OD5242,Fruits & Veggies,Organic Fruits,12-01-2022,856,0.11,171.2
1528,OD8672,"Eggs, Meat & Fish",Chicken,12-01-2022,1063,0.19,650.46
1529,OD1676,Fruits & Veggies,Organic Fruits,12-01-2022,2344,0.2,421.92
1530,OD4629,Bakery,Biscuits,12-01-2022,2179,0.25,518.41728
1531,OD586,Snacks,Cookies,12-01-2022,1442,0.22,305.54496
1532,OD7710,Bakery,Biscuits,12-01-2022,2183,0.1,136.7712
1533,OD4568,Oil & Masala,Edible Oil & Ghee,12-01-2022,566,0.25,28.3
1534,OD1480,Oil & Masala,Spices,12-01-2022,50,0.14,2.5
1535,OD585,"Eggs, Meat & Fish",Fish,12-01-2022,50,0.3,159.17056
1536,OD8398,Beverages,Health Drinks,12-01-2022,1486,0.23,265.8528
1537,OD208,"Eggs, Meat & Fish",Eggs,12-01-2022,699,0.25,184.73472
1538,OD259,Beverages,Soft Drinks,12-01-2022,1060,0.29,418.17599999999993
1539,OD211,Fruits & Veggies,Organic Vegetables,12-01-2022,609,0.3,207.06
1540,OD207,"Eggs, Meat & Fish",Chicken,12-01-2022,269,0.15,357.088
1541,OD7835,Snacks,Chocolates,12-01-2022,1491,0.29,153.96479999999997
1542,OD9249,Oil & Masala,Edible Oil & Ghee,12-01-2022,313,0.23,15.65
1543,OD261,Oil & Masala,Masalas,12-01-2022,378,0.14,18.9
1544,OD4003,Bakery,Biscuits,12-01-2022,1812,0.29,230.37696
1545,OD8578,"Eggs, Meat & Fish",Mutton,12-01-2022,291,0.12,152.6784
1546,OD209,"Eggs, Meat & Fish",Mutton,12-01-2022,994,0.2,78.63296
1547,OD3915,Beverages,Soft Drinks,12-01-2022,1174,0.3,312.07680000000005
1548,OD4576,Fruits & Veggies,Fresh Vegetables,12-01-2022,1207,0.14,120.7
1549,OD210,Beverages,Soft Drinks,12-01-2022,2342,0.29,704.9200000000001
1550,OD2172,Food Grains,Dals & Pulses,12-01-2022,1000,0.18,100.0
1551,OD260,Bakery,Breads & Buns,12-01-2022,2714,0.32,617.5072
1552,OD6423,Fruits & Veggies,Organic Fruits,12-02-2022,1656,0.16,513.36
1553,OD6218,Snacks,Cookies,12-02-2022,1386,0.1,149.40287999999998
1554,OD6225,Snacks,Cookies,12-02-2022,3024,0.11,1148.4
1555,OD3994,Food Grains,Rice,12-02-2022,1257,0.22,389.67
1556,OD1248,"Eggs, Meat & Fish",Fish,12-02-2022,838,0.21,104.34560000000002
