,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
409,OD9067,Fruits & Veggies,Fresh Fruits,07-01-2022,1953,0.19,468.72
410,OD9113,"Eggs, Meat & Fish",Mutton,07-01-2022,238,0.16,357.68
411,OD9114,"Eggs, Meat & Fish",Fish,07-01-2022,1025,0.28,277.76
412,OD8730,Snacks,Chocolates,07-02-2022,2231,0.12,591.8572800000001
413,OD8726,Beverages,Health Drinks,07-02-2022,2840,0.34,956.4
414,OD8001,Fruits & Veggies,Fresh Fruits,07-03-2022,1492,0.26,119.36
415,OD1032,"Eggs, Meat & Fish",Chicken,07-03-2022,198,0.3,250.5216
416,OD8493,Snacks,Noodles,07-03-2022,1106,0.33,113.66784
417,OD1710,"Eggs, Meat & Fish",Fish,07-03-2022,50,0.29,194.28864
418,OD1831,Food Grains,Dals & Pulses,07-03-2022,588,0.13,235.2
419,OD9761,Food Grains,Dals & Pulses,07-03-2022,1143,0.13,434.34
420,OD6612,"Eggs, Meat & Fish",Chicken,07-03-2022,50,0.34,51.712
421,OD5237,Oil & Masala,Edible Oil & Ghee,07-03-2022,103,0.26,5.15
422,OD9753,Oil & Masala,Masalas,07-03-2022,500,0.1,25.0
423,OD9754,Bakery,Breads & Buns,07-03-2022,2864,0.25,1160.3200000000002
424,OD9890,Food Grains,Atta & Flour,07-03-2022,646,0.11,64.6
425,OD5451,Beverages,Health Drinks,07-03-2022,2637,0.34,690.568
426,OD8987,Fruits & Veggies,Fresh Fruits,07-03-2022,1589,0.35,715.05
427,OD8986,Beverages,Health Drinks,07-03-2022,1883,0.17,405.7488
428,OD1889,Snacks,Chocolates,07-03-2022,2996,0.32,1258.4
429,OD9235,"Eggs, Meat & Fish",Mutton,07-03-2022,1205,0.19,421.5
430,OD5415,Bakery,Biscuits,07-03-2022,2541,0.12,1037.58
431,OD4486,Beverages,Soft Drinks,07-03-2022,2445,0.27,688.96
432,OD9752,Oil & Masala,Spices,07-03-2022,686,0.31,34.3
433,OD6391,Oil & Masala,Spices,07-03-2022,86,0.13,4.3
434,OD7121,Fruits & Veggies,Fresh Fruits,07-05-2022,1688,0.1,472.64
435,OD7877,Oil & Masala,Masalas,07-05-2022,50,0.35,2.5
436,OD7019,Snacks,Chocolates,07-05-2022,2373,0.22,1009.2
437,OD5956,Fruits & Veggies,Fresh Vegetables,07-05-2022,842,0.11,227.34
438,OD7076,Snacks,Noodles,07-05-2022,2583,0.29,205.59744000000003
439,OD7057,Snacks,Cookies,07-05-2022,1348,0.19,155.10528
440,OD1188,Bakery,Cakes,07-06-2022,2541,0.34,1018.17
441,OD199,"Eggs, Meat & Fish",Mutton,07-06-2022,152,0.3,273.45919999999995
442,OD200,"Eggs, Meat & Fish",Eggs,07-06-2022,50,0.25,87.296
443,OD1929,Fruits & Veggies,Fresh Fruits,07-06-2022,2264,0.28,679.2
444,OD8010,Oil & Masala,Edible Oil & Ghee,07-07-2022,101,0.2,5.05
445,OD1076,Oil & Masala,Masalas,07-07-2022,50,0.31,2.5
446,OD4405,Bakery,Breads & Buns,07-07-2022,1912,0.18,544.1126399999999
447,OD2812,Beverages,Health Drinks,07-07-2022,2845,0.3,176.04
448,OD4856,Bakery,Cakes,07-07-2022,2428,0.35,1012.92
449,OD2171,"Eggs, Meat & Fish",Mutton,07-07-2022,259,0.1,290.82879999999994
450,OD2173,Oil & Masala,Spices,07-07-2022,50,0.34,2.5
451,OD4862,Food Grains,Dals & Pulses,07-07-2022,2258,0.29,361.28
452,OD4852,Beverages,Soft Drinks,07-07-2022,1817,0.27,837.65
453,OD349,"Eggs, Meat & Fish",Chicken,07-08-2022,938,0.13,387.328
454,OD347,Fruits & Veggies,Organic Vegetables,07-08-2022,1113,0.21,356.16
455,OD348,Food Grains,Rice,07-08-2022,1966,0.1,629.12
456,OD4648,Snacks,Cookies,07-08-2022,2352,0.23,655.0336
457,OD9565,Bakery,Biscuits,07-08-2022,1277,0.26,374.35392
458,OD9644,Bakery,Cakes,07-08-2022,2312,0.19,325.41696
459,OD5991,Food Grains,Atta & Flour,07-08-2022,2251,0.26,810.36
460,OD8421,"Eggs, Meat & Fish",Fish,07-08-2022,587,0.15,397.544
461,OD1828,Beverages,Health Drinks,07-08-2022,1045,0.11,148.608
462,OD5497,Fruits & Veggies,Organic Vegetables,07-08-2022,1438,0.35,186.94
463,OD8170,Bakery,Cakes,07-08-2022,1748,0.3,751.04
464,OD9546,Fruits & Veggies,Organic Fruits,07-08-2022,1184,0.22,189.44
465,OD2345,Food Grains,Atta & Flour,07-08-2022,629,0.11,69.19
466,OD7222,Bakery,Breads & Buns,07-08-2022,2174,0.33,163.19232000000002
467,OD4589,Bakery,Cakes,07-08-2022,2717,0.26,679.2112000000001
