,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
309,OD4865,Food Grains,Atta & Flour,06-01-2022,1180,0.17,70.8
310,OD6700,Fruits & Veggies,Organic Vegetables,06-01-2022,1530,0.18,367.2
311,OD6945,Beverages,Health Drinks,06-01-2022,1307,0.33,91.4256
312,OD7974,Food Grains,Dals & Pulses,06-01-2022,1486,0.35,520.1
313,OD6580,Beverages,Health Drinks,06-01-2022,957,0.16,80.208
314,OD6556,Oil & Masala,Edible Oil & Ghee,06-01-2022,50,0.14,2.5
315,OD3904,Beverages,Health Drinks,06-01-2022,1372,0.33,587.8656000000001
316,OD2193,"Eggs, Meat & Fish",Fish,06-01-2022,724,0.11,280.7808
317,OD2201,Food Grains,Rice,06-01-2022,2240,0.3,291.2
318,OD5773,Oil & Masala,Masalas,06-01-2022,50,0.29,2.5
319,OD7973,Fruits & Veggies,Organic Vegetables,06-01-2022,1531,0.31,505.23
320,OD9899,Fruits & Veggies,Organic Fruits,06-02-2022,2491,0.33,722.39
321,OD3323,"Eggs, Meat & Fish",Eggs,06-02-2022,50,0.3,46.2848
322,OD9317,"Eggs, Meat & Fish",Chicken,06-02-2022,179,0.16,232.99584
323,OD3116,Oil & Masala,Edible Oil & Ghee,06-02-2022,50,0.27,2.5
324,OD3122,Fruits & Veggies,Fresh Vegetables,06-02-2022,2145,0.31,600.6
325,OD2523,Snacks,Chocolates,06-02-2022,1673,0.12,537.7017599999999
326,OD4180,"Eggs, Meat & Fish",Eggs,06-03-2022,276,0.34,257.1776
327,OD7213,Oil & Masala,Spices,06-03-2022,1071,0.1,53.55
328,OD4140,Food Grains,Atta & Flour,06-03-2022,1835,0.28,697.3
329,OD7629,Snacks,Chocolates,06-03-2022,2257,0.1,458.12736
330,OD7763,Oil & Masala,Spices,06-03-2022,1258,0.25,62.9
331,OD5481,Oil & Masala,Masalas,06-03-2022,204,0.31,10.2
332,OD5447,Beverages,Soft Drinks,06-03-2022,1111,0.14,92.1456
333,OD205,Oil & Masala,Spices,06-03-2022,133,0.3,6.65
334,OD5450,Fruits & Veggies,Organic Fruits,06-03-2022,1609,0.2,353.98
335,OD8322,Snacks,Cookies,06-03-2022,2114,0.19,313.94304000000005
336,OD8174,Oil & Masala,Masalas,06-03-2022,743,0.13,37.15
337,OD4253,Bakery,Biscuits,06-03-2022,1707,0.14,459.09504
338,OD8308,Beverages,Soft Drinks,06-03-2022,1766,0.15,531.1008
339,OD4223,"Eggs, Meat & Fish",Mutton,06-03-2022,359,0.12,127.71327999999998
340,OD6047,Beverages,Health Drinks,06-03-2022,1036,0.31,54.9504
341,OD9623,Oil & Masala,Spices,06-03-2022,344,0.19,17.2
342,OD1753,Fruits & Veggies,Fresh Fruits,06-03-2022,1646,0.13,510.26
343,OD7115,Fruits & Veggies,Fresh Vegetables,06-04-2022,1324,0.35,251.56
344,OD4034,Food Grains,Organic Staples,06-04-2022,972,0.3,174.96
345,OD8873,Fruits & Veggies,Fresh Fruits,06-04-2022,2346,0.18,258.06
346,OD8867,"Eggs, Meat & Fish",Fish,06-04-2022,273,0.35,275.3792
347,OD8259,Bakery,Breads & Buns,06-04-2022,2789,0.15,604.3456
348,OD3181,Food Grains,Dals & Pulses,06-04-2022,1649,0.27,98.94
349,OD6093,Fruits & Veggies,Organic Fruits,06-04-2022,1831,0.24,530.99
350,OD1250,Bakery,Cakes,06-04-2022,1576,0.17,690.2848
351,OD4821,Fruits & Veggies,Organic Vegetables,06-05-2022,870,0.19,374.1
352,OD7532,Food Grains,Atta & Flour,06-05-2022,2365,0.23,543.95
353,OD9591,Snacks,Noodles,06-06-2022,2536,0.31,167.2704
354,OD8649,"Eggs, Meat & Fish",Chicken,06-06-2022,936,0.27,218.7264
355,OD667,Food Grains,Rice,06-08-2022,1548,0.14,356.04
356,OD3523,"Eggs, Meat & Fish",Eggs,06-08-2022,124,0.1,40.67328
357,OD4788,Snacks,Noodles,06-08-2022,2955,0.18,1194.9
358,OD8424,Fruits & Veggies,Organic Vegetables,06-08-2022,1341,0.3,187.74
359,OD262,Food Grains,Organic Staples,06-08-2022,867,0.18,216.75
360,OD5623,"Eggs, Meat & Fish",Fish,06-08-2022,153,0.19,103.91039999999998
361,OD666,Food Grains,Atta & Flour,06-08-2022,1250,0.3,125.0
362,OD668,Beverages,Health Drinks,06-08-2022,2547,0.25,736.75
363,OD3609,Bakery,Biscuits,06-08-2022,2397,0.27,310.5216
364,OD4659,Fruits & Veggies,Fresh Fruits,06-08-2022,2061,0.27,370.98
365,OD9726,Bakery,Biscuits,06-08-2022,1986,0.35,191.60064
366,OD6268,Bakery,Biscuits,06-09-2022,3027,0.25,1295.0700000000002
367,OD4079,Bakery,Breads & Buns,06-09-2022,2702,0.19,972.64
368,OD671,"Eggs, Meat & Fish",Fish,06-09-2022,50,0.12,149.19168
369,OD672,Oil & Masala,Spices,06-09-2022,776,0.15,38.8
370,OD670,Snacks,Noodles,06-09-2022,1654,0.2,718.568
371,OD487,Fruits & Veggies,Organic Fruits,06-10-2022,1968,0.14,649.44
372,OD2335,Snacks,Noodles,06-10-2022,1494,0.32,293.51808000000005
373,OD7551,Beverages,Health Drinks,06-10-2022,1640,0.34,635.68
374,OD4297,Beverages,Soft Drinks,06-10-2022,2190,0.19,826.5
375,OD485,Snacks,Cookies,06-10-2022,2492,0.19,790.304
376,OD7226,Snacks,Cookies,06-10-2022,2217,0.28,801.27
377,OD6842,Oil & Masala,Edible Oil & Ghee,06-10-2022,435,0.19,21.75
378,OD4476,Snacks,Noodles,06-10-2022,1462,0.27,633.7504
379,OD5589,Beverages,Soft Drinks,06-10-2022,1199,0.15,414.2016
380,OD644,Oil & Masala,Spices,06-10-2022,1433,0.14,71.65
381,OD486,Snacks,Cookies,06-10-2022,2543,0.14,1077.2
382,OD2498,Beverages,Soft Drinks,06-10-2022,1666,0.22,757.04
383,OD6653,Snacks,Noodles,06-10-2022,2878,0.29,1325.1
384,OD2999,Oil & Masala,Spices,06-11-2022,67,0.33,3.35
385,OD8818,Bakery,Cakes,06-11-2022,1460,0.19,607.744
386,OD5133,Oil & Masala,Edible Oil & Ghee,06-11-2022,1215,0.3,60.75
387,OD9391,Beverages,Health Drinks,06-11-2022,1962,0.22,382.3776
388,OD1355,Oil & Masala,Spices,06-11-2022,295,0.16,14.75
389,OD2994,Beverages,Health Drinks,06-11-2022,1007,0.35,349.632
390,OD4260,Snacks,Noodles,06-11-2022,2030,0.34,247.104
391,OD8805,Food Grains,Organic Staples,06-11-2022,1077,0.19,226.17
392,OD2557,Oil & Masala,Spices,06-11-2022,1345,0.11,67.25
393,OD2301,"Eggs, Meat & Fish",Mutton,06-11-2022,947,0.22,451.4500000000001
394,OD8822,Snacks,Chocolates,06-11-2022,2375,0.18,611.2
395,OD8823,Fruits & Veggies,Organic Vegetables,06-11-2022,2379,0.3,785.07
396,OD3121,Bakery,Cakes,06-11-2022,1105,0.13,383.9616
397,OD8425,Bakery,Breads & Buns,06-11-2022,2630,0.23,784.64
398,OD3887,Snacks,Chocolates,06-12-2022,2188,0.23,493.93152
399,OD5125,Oil & Masala,Masalas,06-12-2022,50,0.33,2.5
400,OD3729,Snacks,Noodles,06-12-2022,1943,0.28,823.77
401,OD3020,Bakery,Cakes,06-12-2022,2744,0.14,259.33824000000004
402,OD8626,Beverages,Health Drinks,06-12-2022,2089,0.22,364.824
403,OD1246,Snacks,Noodles,06-12-2022,1198,0.21,82.66752
404,OD3666,Fruits & Veggies,Fresh Fruits,06-12-2022,1749,0.11,472.23
405,OD1760,Fruits & Veggies,Fresh Fruits,06-12-2022,1184,0.33,106.56
406,OD5346,Oil & Masala,Edible Oil & Ghee,06-12-2022,19,0.31,0.95
407,OD1622,Oil & Masala,Edible Oil & Ghee,06-12-2022,1359,0.24,67.95
408,OD9408,Beverages,Health Drinks,06-12-2022,1565,0.27,631.24
