,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
219,OD1798,Bakery,Breads & Buns,05-01-2022,1941,0.16,779.312
220,OD4161,Beverages,Soft Drinks,05-01-2022,2569,0.14,156.168
221,OD2251,Food Grains,Dals & Pulses,05-01-2022,1149,0.22,103.41
222,OD1786,Fruits & Veggies,Fresh Fruits,05-01-2022,1827,0.29,694.26
223,OD1095,Snacks,Chocolates,05-01-2022,1551,0.3,164.3328
224,OD9924,Oil & Masala,Edible Oil & Ghee,05-01-2022,428,0.32,21.4
225,OD5980,"Eggs, Meat & Fish",Fish,05-02-2022,50,0.11,66.11967999999999
226,OD4384,Bakery,Biscuits,05-02-2022,1333,0.29,316.656
227,OD4524,"Eggs, Meat & Fish",Mutton,05-02-2022,613,0.18,260.8896
228,OD8044,Beverages,Soft Drinks,05-02-2022,1206,0.1,255.3408
229,OD4523,Beverages,Health Drinks,05-02-2022,940,0.15,124.416
230,OD4563,Beverages,Soft Drinks,05-03-2022,1911,0.11,174.0672
231,OD6846,Food Grains,Organic Staples,05-03-2022,1695,0.3,355.95
232,OD6798,"Eggs, Meat & Fish",Mutton,05-03-2022,278,0.15,295.44960000000003
233,OD7408,Beverages,Soft Drinks,05-03-2022,1711,0.15,434.2031999999999
234,OD7302,Oil & Masala,Spices,05-03-2022,50,0.17,2.5
235,OD7414,Fruits & Veggies,Fresh Fruits,05-03-2022,1061,0.26,169.76
236,OD6058,Oil & Masala,Spices,05-03-2022,475,0.23,23.75
237,OD4483,Fruits & Veggies,Organic Fruits,05-03-2022,2440,0.28,780.8
238,OD6024,Fruits & Veggies,Organic Fruits,05-03-2022,2176,0.22,544.0
239,OD7670,Snacks,Cookies,05-04-2022,2490,0.29,1018.2
240,OD4102,"Eggs, Meat & Fish",Mutton,05-04-2022,50,0.18,272.672
241,OD3964,"Eggs, Meat & Fish",Mutton,05-04-2022,406,0.22,197.34528
242,OD4012,Oil & Masala,Edible Oil & Ghee,05-04-2022,676,0.19,33.8
243,OD2974,Fruits & Veggies,Fresh Fruits,05-04-2022,892,0.34,240.84
244,OD4015,Snacks,Cookies,05-04-2022,1803,0.29,841.35
245,OD7404,Bakery,Cakes,05-04-2022,1816,0.22,483.28704
246,OD7397,"Eggs, Meat & Fish",Chicken,05-04-2022,30,0.25,274.496
247,OD4084,Fruits & Veggies,Fresh Vegetables,05-04-2022,1411,0.18,465.63
248,OD8366,"Eggs, Meat & Fish",Fish,05-04-2022,476,0.24,349.504
249,OD6169,Bakery,Breads & Buns,05-04-2022,1660,0.22,721.52
250,OD4324,Oil & Masala,Spices,05-05-2022,1402,0.32,70.1
251,OD2405,Fruits & Veggies,Fresh Fruits,05-05-2022,1063,0.14,74.41
252,OD1146,Beverages,Health Drinks,05-05-2022,2700,0.12,1005.0
253,OD2453,Oil & Masala,Spices,05-05-2022,50,0.12,2.5
254,OD7446,Food Grains,Dals & Pulses,05-05-2022,2220,0.3,466.2
255,OD2399,Beverages,Soft Drinks,05-05-2022,2239,0.24,917.21
256,OD4970,Fruits & Veggies,Organic Fruits,05-06-2022,1061,0.24,318.3
257,OD5930,Fruits & Veggies,Fresh Vegetables,05-06-2022,1503,0.15,240.48
258,OD2533,"Eggs, Meat & Fish",Mutton,05-06-2022,1060,0.24,283.136
259,OD3001,Fruits & Veggies,Fresh Vegetables,05-06-2022,1077,0.35,430.8
260,OD9163,Bakery,Cakes,05-06-2022,2551,0.15,633.7936
261,OD2240,Bakery,Cakes,05-06-2022,2222,0.12,140.14079999999998
262,OD2526,"Eggs, Meat & Fish",Mutton,05-06-2022,50,0.14,94.74048
263,OD4723,Beverages,Soft Drinks,05-06-2022,1241,0.11,411.7536
264,OD2127,Food Grains,Dals & Pulses,05-06-2022,1816,0.31,127.12
265,OD7122,Snacks,Noodles,05-06-2022,1808,0.15,639.2512
266,OD5227,Food Grains,Rice,05-06-2022,2265,0.2,203.85
267,OD9858,Snacks,Cookies,05-06-2022,2969,0.18,1034.39
268,OD7054,Fruits & Veggies,Fresh Fruits,05-06-2022,1314,0.26,289.08
269,OD5876,Fruits & Veggies,Fresh Vegetables,05-07-2022,1392,0.23,417.6
270,OD5630,Bakery,Biscuits,05-07-2022,2199,0.27,718.076
271,OD5898,Bakery,Breads & Buns,05-07-2022,1683,0.35,614.6416
272,OD6966,Beverages,Health Drinks,05-07-2022,1756,0.21,546.7392
273,OD5874,Food Grains,Organic Staples,05-07-2022,2302,0.16,161.14
274,OD9943,Beverages,Soft Drinks,05-07-2022,2488,0.32,868.16
275,OD1670,Fruits & Veggies,Fresh Fruits,05-08-2022,1330,0.15,518.7
276,OD6037,Oil & Masala,Spices,05-08-2022,1243,0.3,62.15
277,OD9987,Bakery,Biscuits,05-08-2022,2799,0.34,265.99104
278,OD6614,Snacks,Cookies,05-08-2022,2485,0.1,788.12
279,OD3032,Oil & Masala,Masalas,05-08-2022,263,0.35,13.15
280,OD9718,Food Grains,Dals & Pulses,05-09-2022,2288,0.15,228.8
281,OD8415,Food Grains,Organic Staples,05-09-2022,990,0.3,386.1
282,OD8826,Snacks,Cookies,05-09-2022,2961,0.3,1102.74
283,OD5696,Bakery,Biscuits,05-09-2022,1706,0.21,363.12191999999993
284,OD8797,Beverages,Health Drinks,05-09-2022,1770,0.22,658.96
285,OD8799,Fruits & Veggies,Organic Vegetables,05-09-2022,2226,0.23,400.68
286,OD6392,Beverages,Health Drinks,05-09-2022,1009,0.12,52.6176
287,OD5740,Food Grains,Rice,05-11-2022,1600,0.13,288.0
288,OD2556,Fruits & Veggies,Organic Vegetables,05-11-2022,2361,0.23,708.3
289,OD9155,Bakery,Biscuits,05-11-2022,1489,0.12,522.3052799999999
290,OD9145,"Eggs, Meat & Fish",Eggs,05-11-2022,865,0.15,105.728
291,OD2741,Snacks,Noodles,05-11-2022,2951,0.23,1005.3
292,OD9160,Oil & Masala,Spices,05-11-2022,259,0.2,12.95
293,OD2574,Fruits & Veggies,Organic Vegetables,05-11-2022,1702,0.31,374.44
294,OD8556,Snacks,Noodles,05-11-2022,1461,0.34,342.19584000000003
295,OD2581,Oil & Masala,Edible Oil & Ghee,05-11-2022,183,0.25,9.15
296,OD2735,"Eggs, Meat & Fish",Chicken,05-12-2022,50,0.2,102.56384
297,OD6609,Bakery,Cakes,05-12-2022,1522,0.21,350.50752
298,OD2724,Bakery,Breads & Buns,05-12-2022,1255,0.16,452.736
299,OD9321,"Eggs, Meat & Fish",Chicken,05-12-2022,50,0.33,136.39679999999998
300,OD7648,Bakery,Biscuits,05-12-2022,2321,0.31,237.91104
301,OD7587,Bakery,Biscuits,05-12-2022,2057,0.1,226.59264
