,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
1059,OD3115,Bakery,Biscuits,11-01-2022,1106,0.29,122.41152
1060,OD1379,Oil & Masala,Edible Oil & Ghee,11-01-2022,1572,0.13,78.6
1061,OD2710,"Eggs, Meat & Fish",Fish,11-01-2022,1042,0.2,686.48
1062,OD2797,Oil & Masala,Edible Oil & Ghee,11-01-2022,500,0.23,25.0
1063,OD9026,Food Grains,Rice,11-02-2022,2411,0.3,626.86
1064,OD2010,Beverages,Soft Drinks,11-02-2022,2701,0.23,563.2848
1065,OD8490,"Eggs, Meat & Fish",Eggs,11-02-2022,50,0.18,117.25824
1066,OD6690,Beverages,Health Drinks,11-02-2022,2268,0.16,779.08
1067,OD4021,Food Grains,Rice,11-02-2022,1327,0.33,305.21
1068,OD8505,Food Grains,Atta & Flour,11-02-2022,1471,0.18,88.26
1069,OD7730,Bakery,Cakes,11-02-2022,1669,0.14,623.3824
1070,OD6718,Beverages,Health Drinks,11-02-2022,1806,0.27,606.1600000000001
1071,OD6257,Fruits & Veggies,Organic Vegetables,11-02-2022,944,0.19,84.96
1072,OD6926,Food Grains,Atta & Flour,11-02-2022,1247,0.32,211.99
1073,OD4493,"Eggs, Meat & Fish",Fish,11-02-2022,339,0.15,369.416
1074,OD8225,Food Grains,Dals & Pulses,11-02-2022,2422,0.19,1041.46
1075,OD6740,Beverages,Soft Drinks,11-02-2022,2567,0.11,592.8912
1076,OD2018,Beverages,Health Drinks,11-02-2022,1740,0.29,308.73600000000005
1077,OD8030,Bakery,Cakes,11-02-2022,2728,0.21,1044.8
1078,OD9064,"Eggs, Meat & Fish",Chicken,11-02-2022,415,0.31,99.2256
1079,OD7338,Snacks,Chocolates,11-02-2022,3021,0.16,1341.03
1080,OD6023,Fruits & Veggies,Fresh Vegetables,11-02-2022,1140,0.26,330.6
1081,OD6951,Oil & Masala,Masalas,11-02-2022,26,0.14,1.3
1082,OD9041,Fruits & Veggies,Organic Fruits,11-02-2022,2040,0.23,632.4
1083,OD7316,Oil & Masala,Edible Oil & Ghee,11-02-2022,618,0.18,30.9
1084,OD4439,Fruits & Veggies,Fresh Vegetables,11-02-2022,775,0.33,178.25
1085,OD9049,Beverages,Health Drinks,11-02-2022,2409,0.35,762.52
1086,OD5828,Fruits & Veggies,Fresh Fruits,11-02-2022,2271,0.11,817.56
1087,OD9051,Fruits & Veggies,Fresh Vegetables,11-02-2022,1530,0.26,306.0
1088,OD8257,Snacks,Chocolates,11-03-2022,1108,0.2,79.00416
1089,OD3194,Fruits & Veggies,Fresh Vegetables,11-03-2022,508,0.34,208.28
1090,OD3244,Fruits & Veggies,Organic Fruits,11-03-2022,2471,0.26,1087.24
1091,OD1850,Beverages,Soft Drinks,11-03-2022,2875,0.31,285.12
1092,OD3168,"Eggs, Meat & Fish",Eggs,11-03-2022,836,0.26,166.78912
1093,OD2936,Fruits & Veggies,Fresh Vegetables,11-03-2022,2430,0.33,704.7
1094,OD6744,Oil & Masala,Edible Oil & Ghee,11-03-2022,50,0.16,2.5
