,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
761,OD3139,Snacks,Cookies,10-01-2022,2846,0.31,465.73056
762,OD9705,Food Grains,Atta & Flour,10-01-2022,1963,0.28,530.01
763,OD570,Food Grains,Rice,10-01-2022,727,0.23,247.18
764,OD567,Bakery,Biscuits,10-01-2022,2807,0.33,228.82176
765,OD1140,Fruits & Veggies,Organic Fruits,10-01-2022,1231,0.11,110.79
766,OD568,"Eggs, Meat & Fish",Eggs,10-01-2022,679,0.28,296.76800000000003
767,OD429,Fruits & Veggies,Organic Vegetables,10-01-2022,913,0.19,374.33
768,OD9956,"Eggs, Meat & Fish",Chicken,10-01-2022,1125,0.27,293.12
769,OD2400,Beverages,Soft Drinks,10-01-2022,1548,0.2,678.592
770,OD2361,"Eggs, Meat & Fish",Eggs,10-01-2022,50,0.11,55.29600000000001
771,OD2283,Food Grains,Organic Staples,10-01-2022,1069,0.35,224.49
772,OD569,Oil & Masala,Edible Oil & Ghee,10-01-2022,768,0.1,38.4
773,OD4800,Oil & Masala,Masalas,10-02-2022,50,0.21,2.5
774,OD8412,Fruits & Veggies,Organic Fruits,10-02-2022,704,0.22,70.4
775,OD9548,Beverages,Health Drinks,10-02-2022,922,0.35,157.8528
776,OD8413,Oil & Masala,Edible Oil & Ghee,10-02-2022,1,0.29,0.05
777,OD9614,Food Grains,Organic Staples,10-02-2022,637,0.16,210.21
778,OD8411,"Eggs, Meat & Fish",Mutton,10-02-2022,365,0.12,353.32
779,OD4754,Bakery,Biscuits,10-02-2022,2618,0.18,1087.02
780,OD6620,Food Grains,Dals & Pulses,10-02-2022,1099,0.19,98.91
781,OD9658,Fruits & Veggies,Fresh Vegetables,10-02-2022,664,0.16,232.4
782,OD1999,Bakery,Breads & Buns,10-02-2022,2999,0.12,1379.55
783,OD8783,Oil & Masala,Edible Oil & Ghee,10-02-2022,50,0.11,2.5
784,OD6629,Beverages,Health Drinks,10-02-2022,2839,0.25,421.4592
785,OD5826,Beverages,Soft Drinks,10-02-2022,1733,0.34,345.5136
