,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
559,OD1155,Bakery,Cakes,09-01-2022,1265,0.26,436.6656
560,OD6539,Beverages,Health Drinks,09-01-2022,2043,0.35,671.764
561,OD9497,Oil & Masala,Masalas,09-01-2022,1580,0.35,79.0
562,OD5759,Food Grains,Atta & Flour,09-01-2022,1141,0.26,102.69
563,OD4736,Beverages,Health Drinks,09-01-2022,1011,0.3,202.3632
564,OD5493,Oil & Masala,Spices,09-01-2022,145,0.35,7.25
565,OD1274,Oil & Masala,Edible Oil & Ghee,09-01-2022,50,0.13,2.5
566,OD6042,"Eggs, Meat & Fish",Chicken,09-02-2022,216,0.15,159.49823999999998
567,OD4056,Oil & Masala,Edible Oil & Ghee,09-02-2022,216,0.18,10.8
568,OD5212,Snacks,Cookies,09-02-2022,2802,0.34,916.56
569,OD3092,Beverages,Health Drinks,09-02-2022,1626,0.14,600.208
570,OD5551,Oil & Masala,Masalas,09-02-2022,963,0.29,48.15
571,OD6018,Beverages,Soft Drinks,09-02-2022,1129,0.32,199.4544
572,OD5965,Food Grains,Organic Staples,09-02-2022,1886,0.28,339.48
573,OD4732,Oil & Masala,Spices,09-02-2022,1088,0.11,54.4
574,OD9040,Food Grains,Atta & Flour,09-02-2022,2225,0.24,845.5
575,OD7173,Snacks,Cookies,09-02-2022,1426,0.19,228.37248
576,OD7212,Oil & Masala,Spices,09-02-2022,236,0.23,11.8
577,OD7253,"Eggs, Meat & Fish",Mutton,09-02-2022,201,0.14,78.90432000000001
578,OD702,Bakery,Breads & Buns,09-02-2022,2686,0.23,396.50688
579,OD4391,Fruits & Veggies,Fresh Fruits,09-02-2022,1937,0.12,561.73
580,OD7381,"Eggs, Meat & Fish",Eggs,09-02-2022,9,0.3,61.9008
581,OD910,Food Grains,Dals & Pulses,09-02-2022,2372,0.13,853.92
582,OD911,Fruits & Veggies,Organic Vegetables,09-02-2022,1579,0.25,442.12
583,OD2712,Fruits & Veggies,Organic Vegetables,09-02-2022,1433,0.25,487.22
584,OD912,Food Grains,Dals & Pulses,09-02-2022,1734,0.2,329.46
585,OD9063,Oil & Masala,Masalas,09-02-2022,50,0.35,2.5
586,OD1926,Snacks,Cookies,09-02-2022,1521,0.1,603.9712
587,OD4499,Oil & Masala,Spices,09-02-2022,387,0.14,19.35
588,OD8509,Beverages,Health Drinks,09-02-2022,1990,0.24,899.6
589,OD8142,Snacks,Noodles,09-02-2022,1646,0.18,739.736
590,OD8156,"Eggs, Meat & Fish",Mutton,09-02-2022,50,0.27,65.61792
591,OD8163,Fruits & Veggies,Organic Vegetables,09-02-2022,1567,0.25,548.45
592,OD8456,"Eggs, Meat & Fish",Eggs,09-02-2022,50,0.35,117.504
593,OD933,Fruits & Veggies,Fresh Vegetables,09-02-2022,712,0.19,306.16
594,OD7143,Bakery,Breads & Buns,09-02-2022,2822,0.22,855.5
595,OD4514,Snacks,Noodles,09-02-2022,2906,0.25,807.3199999999999
596,OD7124,Fruits & Veggies,Fresh Vegetables,09-02-2022,1832,0.15,201.52
597,OD7053,Food Grains,Dals & Pulses,09-02-2022,2086,0.14,625.8
598,OD7079,"Eggs, Meat & Fish",Eggs,09-02-2022,390,0.2,56.9856
599,OD2750,Food Grains,Organic Staples,09-02-2022,2189,0.27,897.49
600,OD2763,"Eggs, Meat & Fish",Mutton,09-02-2022,51,0.23,38.43072
601,OD7035,Snacks,Noodles,09-02-2022,2957,0.18,609.112
602,OD8948,Oil & Masala,Edible Oil & Ghee,09-03-2022,782,0.34,39.1
603,OD712,Snacks,Noodles,09-03-2022,1678,0.21,447.0681600000001
604,OD8961,"Eggs, Meat & Fish",Mutton,09-03-2022,334,0.29,125.66528
605,OD1383,"Eggs, Meat & Fish",Mutton,09-03-2022,486,0.21,120.85248
606,OD8487,Fruits & Veggies,Fresh Fruits,09-03-2022,1158,0.1,138.96
607,OD537,Beverages,Soft Drinks,09-03-2022,1662,0.22,436.1472
608,OD7610,Oil & Masala,Edible Oil & Ghee,09-03-2022,1201,0.34,60.05
609,OD8486,Snacks,Chocolates,09-03-2022,2116,0.31,645.76
610,OD9655,Snacks,Chocolates,09-03-2022,3009,0.11,1239.51
611,OD9947,Fruits & Veggies,Organic Fruits,09-03-2022,974,0.15,321.42
612,OD7014,Fruits & Veggies,Fresh Fruits,09-03-2022,580,0.1,237.8
613,OD1550,Oil & Masala,Edible Oil & Ghee,09-03-2022,50,0.27,2.5
614,OD8101,Snacks,Noodles,09-03-2022,1701,0.3,715.268
615,OD1755,Food Grains,Dals & Pulses,09-04-2022,2122,0.33,742.7
616,OD7706,Beverages,Health Drinks,09-04-2022,1402,0.17,202.0032
617,OD8919,Bakery,Cakes,09-04-2022,2392,0.25,154.8288
618,OD5361,"Eggs, Meat & Fish",Eggs,09-04-2022,442,0.29,293.2992
619,OD3290,Food Grains,Dals & Pulses,09-04-2022,1494,0.19,209.16
620,OD5869,Food Grains,Dals & Pulses,09-04-2022,2426,0.2,291.12
621,OD4531,Bakery,Cakes,09-04-2022,2452,0.24,1003.76
622,OD7799,Beverages,Soft Drinks,09-04-2022,2671,0.13,1199.24
623,OD3407,"Eggs, Meat & Fish",Eggs,09-04-2022,50,0.33,90.84928
624,OD2849,Bakery,Breads & Buns,09-04-2022,2576,0.23,971.84
625,OD6254,Food Grains,Atta & Flour,09-04-2022,1371,0.33,233.07
626,OD6252,Fruits & Veggies,Organic Vegetables,09-04-2022,795,0.28,286.2
